ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,z_score,anomaly
2024.0,256.0,doogee,6.56,lcd,1.6,20.0,2.57,254.42,1080.0,2400.0,5150.0,14.285714285714285,239.99,169.99,-0.2560980184745729,1
2024.0,128.0,xiaomi,6.79,lcd,2.0,4.0,0.82,400.0,1080.0,2400.0,5000.0,20.243902439024392,101.93,101.93,-0.5555322418093495,1
2024.0,128.0,oscal,6.75,lcd,2.0,8.0,0.91,214.0,1280.0,720.0,6000.0,7.173913043478262,239.99,99.99,-0.564067393047514,1
2024.0,256.0,xiaomi,6.67,amoled,3.1,8.0,2.57,254.42,707.0,384.0,5000.0,1.1904761904761905,199.99,237.0,0.03871666424160946,1
2024.0,128.0,panasonic,5.0,lcd,1.2,1.0,60.0,290.0,400.0,240.0,1.0,29.72972972972973,569.99,52.7,-0.7721227033840048,-1
2024.0,256.0,samsung,6.6,superamoled,2.6,12.0,0.76,195.0,1080.0,2400.0,4500.0,153.48837209302326,519.99,499.99,1.1957576045121485,1
2024.0,256.0,oukitel,6.6,lcd,2.0,24.0,1.49,360.0,1920.0,1080.0,11000.0,90.88888888888889,199.99,325.99,0.43023373057369535,1
2024.0,256.0,asus,5.9,amoled,3.2,8.0,28.0,172.0,2400.0,1080.0,4300.0,48.44444444444444,699.99,599.0,1.6313582870331038,-1
2024.0,256.0,motorola,6.67,amoled,3.4,12.0,0.76,160.0,1080.0,2400.0,5000.0,602.8888888888889,299.0,289.73,0.270705594544912,1
2024.0,256.0,xiaomi,6.67,amoled,2.4,12.0,1.0,500.0,2712.0,1220.0,5000.0,70.22727272727272,329.3,260.0,0.13990660160129004,1
2024.0,256.0,oppo,6.7,lcd,8.0,8.0,0.77,186.0,1604.0,720.0,5100.0,66.22222222222223,179.0,169.0,-0.26045358534353313,1
2024.0,512.0,samsung,6.7,amoled,3.1,12.0,2.57,254.42,1080.0,2400.0,4000.0,1.2,1089.0,1089.0,3.78714390904369,1
2022.0,128.0,xiaomi,0.39,lcd,15.8,6.0,5.0,400.0,1334.0,720.0,5000.0,1.5789473684210529,152.65,131.45,-0.42565715698944645,-1
