_id,Potencia nominal de la bateria,precio_actual,precio_anterior,Capacidad de almacenamiento digital,Marca,Sistema operativo,Tamano de la pantalla,Tipo de pantalla,Ano del modelo,Memoria RAM,Altura (cm),Anchura (cm),Profundidad (cm),Peso (g)
B0CYT838NX,,144.99,179.99,,tcl,android,6.56,,,,16.41,7.5,0.83,190.0
B0DP97TFKX,5160.0,134.9,145.0,128.0,xiaomi,"hyperos, androide 14",6.88,lcd,2024.0,8.0,,,,
B0CWTPTF51,10500.0,199.99,1299.0,,oukitel,android 13.0,6.52,lcd,2024.0,16.0,17.22,8.07,1.91,393.0
B08PCDKD6G,,249.0,499.99,,,,,oled,,,13.16,6.43,0.74,135.0
B0DLN82WFD,5000.0,170.99,209.99,,blackview,android 14,6.67,lcd,2025.0,24.0,,,,
B0CR17BMLT,5000.0,297.88,419.9,,,,,amoled,,12.0,16.05,7.5,0.85,500.0
B0D2QFYJTQ,5000.0,219.0,1299.0,256.0,vivo,android 14,6.67,amoled,2024.0,8.0,16.32,7.58,0.78,191.0
B0DNYQMD8X,5160.0,129.89,149.99,256.0,xiaomi,androide,6.88,lcd,2024.0,128.0,,,,
B0D1FQ4J92,3700.0,149.99,199.99,,blackview,android 13.0,4.3,lcd,2024.0,4.0,,,,
B08VW9J5GV,4350.0,79.99,569.99,,doogee,android 10.0,6.52,,,4.0,16.7,7.74,0.89,189.0
B0BNQ5Y8BR,2000.0,149.99,149.99,64.0,unihertz,android 12.0,3.0,lcd,2022.0,4.0,9.5,4.94,1.65,110.0
